date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2024-12-27,SELL,BEEF3.SA,8789,5.2200,78.8179,2025-01-02,2025-01-02,IDIOSYNCRATIC_HARD_STOP
2024-12-30,BUY,B3SA3.SA,3096,10.3600,58.1118,2024-12-30,2024-12-30,WEEKLY_BUY
2024-12-30,BUY,GGBR4.SA,1748,18.3400,58.0875,2024-12-30,2024-12-30,WEEKLY_BUY
2025-01-02,SELL,ABEV3.SA,3533,11.7400,72.2161,2025-01-06,2025-01-06,IDIOSYNCRATIC_HARD_STOP
2025-01-03,SELL,EQTL3.SA,1867,26.7200,84.8294,2025-01-07,2025-01-07,IDIOSYNCRATIC_HARD_STOP
2025-01-03,SELL,AURE3.SA,1911,8.6000,34.6519,2025-01-07,2025-01-07,IDIOSYNCRATIC_HARD_STOP
2025-01-06,SELL,GGBR4.SA,1748,17.3200,55.4130,2025-01-08,2025-01-08,IDIOSYNCRATIC_HARD_STOP
2025-01-06,BUY,BBDC4.SA,2128,11.2000,45.7504,2025-01-06,2025-01-06,WEEKLY_BUY
2025-01-06,BUY,ITUB4.SA,878,27.1091,45.7027,2025-01-06,2025-01-06,WEEKLY_BUY
2025-01-06,BUY,LREN3.SA,1960,12.1500,45.7210,2025-01-06,2025-01-06,WEEKLY_BUY
2025-01-06,BUY,MGLU3.SA,3804,6.2600,45.7196,2025-01-06,2025-01-06,WEEKLY_BUY
2025-01-07,SELL,BBDC4.SA,2128,11.4200,46.4526,2025-01-09,2025-01-09,IDIOSYNCRATIC_HARD_STOP
2025-01-07,SELL,LREN3.SA,1960,12.5300,46.8382,2025-01-09,2025-01-09,IDIOSYNCRATIC_HARD_STOP
2025-01-07,SELL,MGLU3.SA,3804,6.6500,47.9449,2025-01-09,2025-01-09,IDIOSYNCRATIC_HARD_STOP
2025-01-13,BUY,BPAC11.SA,1750,27.7300,82.7912,2025-01-13,2025-01-13,WEEKLY_BUY
2025-01-13,BUY,COGN3.SA,41125,1.1800,82.7912,2025-01-13,2025-01-13,WEEKLY_BUY
2025-01-13,BUY,ITSA4.SA,5599,8.6600,82.7310,2025-01-13,2025-01-13,WEEKLY_BUY
2025-01-14,SELL,COGN3.SA,41125,1.1400,80.3237,2025-01-16,2025-01-16,IDIOSYNCRATIC_HARD_STOP
2025-01-20,BUY,ABEV3.SA,4292,11.0900,81.3974,2025-01-20,2025-01-20,WEEKLY_BUY
2025-01-21,SELL,ABEV3.SA,4292,11.0500,81.1399,2025-01-23,2025-01-23,IDIOSYNCRATIC_HARD_STOP
2025-01-27,BUY,AURE3.SA,6242,7.6000,81.1588,2025-01-27,2025-01-27,WEEKLY_BUY
2025-01-28,SELL,AURE3.SA,6242,7.9700,84.6231,2025-01-30,2025-01-30,IDIOSYNCRATIC_HARD_STOP
2025-02-03,BUY,BBDC4.SA,4012,12.0900,82.7576,2025-02-03,2025-02-03,WEEKLY_BUY
2025-05-29,SELL,BBAS3.SA,2413,24.0800,97.1576,2025-06-02,2025-06-02,IDIOSYNCRATIC_HARD_STOP
2025-06-02,BUY,ABEV3.SA,3793,14.0300,89.8237,2025-06-02,2025-06-02,WEEKLY_BUY
