date,ticker,qty
2025-05-21,AURE3.SA,3393
2025-05-21,B3SA3.SA,3783
2025-05-21,BBAS3.SA,2877
2025-05-21,BBDC4.SA,3297
2025-05-21,BEEF3.SA,3853
2025-05-21,BPAC11.SA,2086
2025-05-21,CMIG4.SA,5822
2025-05-21,COGN3.SA,23518
2025-05-22,ABEV3.SA,3442
2025-05-22,AURE3.SA,3393
2025-05-22,B3SA3.SA,3783
2025-05-22,BBAS3.SA,2877
2025-05-22,BBDC4.SA,3297
2025-05-22,BEEF3.SA,3853
2025-05-22,BPAC11.SA,2086
2025-05-22,CMIG4.SA,5822
2025-05-22,COGN3.SA,23518
2025-05-23,ABEV3.SA,3442
2025-05-23,AURE3.SA,3393
2025-05-23,B3SA3.SA,3783
2025-05-23,BBAS3.SA,2877
2025-05-23,BBDC4.SA,3297
2025-05-23,BEEF3.SA,3853
2025-05-23,BPAC11.SA,2086
2025-05-23,CMIG4.SA,5822
2025-05-23,COGN3.SA,23518
2025-05-26,ABEV3.SA,3442
2025-05-26,AURE3.SA,3393
2025-05-26,B3SA3.SA,3783
2025-05-26,BBAS3.SA,2877
2025-05-26,BBDC4.SA,3297
2025-05-26,BEEF3.SA,3853
2025-05-26,BPAC11.SA,2086
2025-05-26,CMIG4.SA,5822
2025-05-26,COGN3.SA,23518
2025-05-27,ABEV3.SA,3442
2025-05-27,AURE3.SA,3393
2025-05-27,B3SA3.SA,3783
2025-05-27,BBAS3.SA,2877
2025-05-27,BBDC4.SA,3297
2025-05-27,BEEF3.SA,3853
2025-05-27,BPAC11.SA,2086
2025-05-27,CMIG4.SA,5822
2025-05-27,COGN3.SA,23518
2025-05-28,ABEV3.SA,3442
2025-05-28,AURE3.SA,3393
2025-05-28,B3SA3.SA,3783
2025-05-28,BBAS3.SA,2877
2025-05-28,BBDC4.SA,3297
2025-05-28,BEEF3.SA,3853
2025-05-28,BPAC11.SA,2086
2025-05-28,CMIG4.SA,5822
2025-05-28,COGN3.SA,23518
2025-05-29,ABEV3.SA,3442
2025-05-29,AURE3.SA,3393
2025-05-29,B3SA3.SA,3783
2025-05-29,BBAS3.SA,2877
2025-05-29,BBDC4.SA,3297
2025-05-29,BEEF3.SA,3853
2025-05-29,BPAC11.SA,2086
2025-05-29,CMIG4.SA,5822
2025-05-29,COGN3.SA,23518
2025-05-30,ABEV3.SA,3442
2025-05-30,AURE3.SA,3393
2025-05-30,B3SA3.SA,3783
2025-05-30,BBAS3.SA,2877
2025-05-30,BBDC4.SA,3297
2025-05-30,BEEF3.SA,3853
2025-05-30,BPAC11.SA,2086
2025-05-30,CMIG4.SA,5822
2025-05-30,COGN3.SA,23518
2025-06-02,ABEV3.SA,3442
2025-06-02,AURE3.SA,3393
2025-06-02,B3SA3.SA,3783
2025-06-02,BBAS3.SA,2877
2025-06-02,BBDC4.SA,3297
2025-06-02,BEEF3.SA,3853
2025-06-02,BPAC11.SA,2086
2025-06-02,CMIG4.SA,5822
2025-06-02,COGN3.SA,23518
2025-06-03,ABEV3.SA,3442
2025-06-03,AURE3.SA,3393
2025-06-03,B3SA3.SA,3783
2025-06-03,BBAS3.SA,2877
2025-06-03,BBDC4.SA,3297
2025-06-03,BEEF3.SA,3853
2025-06-03,BPAC11.SA,2086
2025-06-03,CMIG4.SA,5822
2025-06-03,COGN3.SA,23518
2025-06-04,ABEV3.SA,3442
2025-06-04,AURE3.SA,3393
2025-06-04,B3SA3.SA,3783
2025-06-04,BBAS3.SA,2877
2025-06-04,BBDC4.SA,3297
2025-06-04,BEEF3.SA,3853
2025-06-04,BPAC11.SA,2086
2025-06-04,CMIG4.SA,5822
2025-06-04,COGN3.SA,23518
2025-06-05,ABEV3.SA,3442
2025-06-05,AURE3.SA,3393
2025-06-05,B3SA3.SA,3783
2025-06-05,BBAS3.SA,2877
2025-06-05,BBDC4.SA,3297
2025-06-05,BEEF3.SA,3853
2025-06-05,BPAC11.SA,2086
2025-06-05,CMIG4.SA,5822
2025-06-05,COGN3.SA,23518
2025-06-06,ABEV3.SA,3442
2025-06-06,AURE3.SA,3393
2025-06-06,B3SA3.SA,3783
2025-06-06,BBAS3.SA,2877
2025-06-06,BBDC4.SA,3297
2025-06-06,BEEF3.SA,3853
2025-06-06,BPAC11.SA,2086
2025-06-06,CMIG4.SA,5822
2025-06-06,COGN3.SA,23518
2025-06-09,ABEV3.SA,3442
2025-06-09,AURE3.SA,3393
2025-06-09,B3SA3.SA,3783
2025-06-09,BBAS3.SA,2877
2025-06-09,BBDC4.SA,3297
2025-06-09,BEEF3.SA,3853
2025-06-09,BPAC11.SA,2086
2025-06-09,CMIG4.SA,5822
2025-06-09,COGN3.SA,23518
2025-06-10,ABEV3.SA,3442
2025-06-10,AURE3.SA,3393
2025-06-10,B3SA3.SA,3783
2025-06-10,BBAS3.SA,2877
2025-06-10,BBDC4.SA,3297
2025-06-10,BEEF3.SA,3853
2025-06-10,BPAC11.SA,2086
2025-06-10,CMIG4.SA,5822
2025-06-10,COGN3.SA,23518
2025-06-11,ABEV3.SA,3442
2025-06-11,AURE3.SA,3393
2025-06-11,B3SA3.SA,3783
2025-06-11,BBAS3.SA,2877
2025-06-11,BBDC4.SA,3297
2025-06-11,BEEF3.SA,3853
2025-06-11,BPAC11.SA,2086
2025-06-11,CMIG4.SA,5822
2025-06-11,COGN3.SA,23518
2025-06-12,ABEV3.SA,3442
2025-06-12,AURE3.SA,3393
2025-06-12,B3SA3.SA,3783
2025-06-12,BBAS3.SA,2877
2025-06-12,BBDC4.SA,3297
2025-06-12,BEEF3.SA,3853
2025-06-12,BPAC11.SA,2086
2025-06-12,CMIG4.SA,5822
2025-06-12,COGN3.SA,23518
2025-06-13,ABEV3.SA,3442
2025-06-13,AURE3.SA,3393
2025-06-13,B3SA3.SA,3783
2025-06-13,BBAS3.SA,2877
2025-06-13,BBDC4.SA,3297
2025-06-13,BEEF3.SA,3853
2025-06-13,BPAC11.SA,2086
2025-06-13,CMIG4.SA,5822
2025-06-13,COGN3.SA,23518
2025-06-16,ABEV3.SA,3442
2025-06-16,AURE3.SA,3393
2025-06-16,B3SA3.SA,3783
2025-06-16,BBAS3.SA,2877
2025-06-16,BBDC4.SA,3297
2025-06-16,BEEF3.SA,3853
2025-06-16,BPAC11.SA,2086
2025-06-16,CMIG4.SA,5822
2025-06-16,COGN3.SA,23518
2025-06-17,ABEV3.SA,3442
2025-06-17,AURE3.SA,3393
2025-06-17,B3SA3.SA,3783
2025-06-17,BBAS3.SA,2877
2025-06-17,BBDC4.SA,3297
2025-06-17,BEEF3.SA,3853
2025-06-17,BPAC11.SA,2086
2025-06-17,CMIG4.SA,5822
2025-06-17,COGN3.SA,23518
2025-06-18,ABEV3.SA,3442
2025-06-18,AURE3.SA,3393
2025-06-18,B3SA3.SA,3783
2025-06-18,BBAS3.SA,2877
2025-06-18,BBDC4.SA,3297
2025-06-18,BEEF3.SA,3853
2025-06-18,BPAC11.SA,2086
2025-06-18,CMIG4.SA,5822
2025-06-18,COGN3.SA,23518
2025-06-20,ABEV3.SA,3442
2025-06-20,AURE3.SA,3393
2025-06-20,B3SA3.SA,3783
2025-06-20,BBAS3.SA,2877
2025-06-20,BBDC4.SA,3297
2025-06-20,BEEF3.SA,3853
2025-06-20,BPAC11.SA,2086
2025-06-20,CMIG4.SA,5822
2025-06-20,COGN3.SA,23518
2025-06-23,ABEV3.SA,3442
2025-06-23,AURE3.SA,3393
2025-06-23,B3SA3.SA,3783
2025-06-23,BBAS3.SA,2877
2025-06-23,BBDC4.SA,3297
2025-06-23,BEEF3.SA,3853
2025-06-23,BPAC11.SA,2086
2025-06-23,CMIG4.SA,5822
2025-06-23,COGN3.SA,23518
2025-06-24,ABEV3.SA,3442
2025-06-24,AURE3.SA,3393
2025-06-24,B3SA3.SA,3783
2025-06-24,BBAS3.SA,2877
2025-06-24,BBDC4.SA,3297
2025-06-24,BEEF3.SA,3853
2025-06-24,BPAC11.SA,2086
2025-06-24,CMIG4.SA,5822
2025-06-24,COGN3.SA,23518
2025-06-25,ABEV3.SA,3442
2025-06-25,AURE3.SA,3393
2025-06-25,B3SA3.SA,3783
2025-06-25,BBAS3.SA,2877
2025-06-25,BBDC4.SA,3297
2025-06-25,BEEF3.SA,3853
2025-06-25,BPAC11.SA,2086
2025-06-25,CMIG4.SA,5822
2025-06-25,COGN3.SA,23518
2025-06-26,ABEV3.SA,3442
2025-06-26,AURE3.SA,3393
2025-06-26,B3SA3.SA,3783
2025-06-26,BBAS3.SA,2877
2025-06-26,BBDC4.SA,3297
2025-06-26,BEEF3.SA,3853
2025-06-26,BPAC11.SA,2086
2025-06-26,CMIG4.SA,5822
2025-06-26,COGN3.SA,23518
2025-06-27,ABEV3.SA,3442
2025-06-27,AURE3.SA,3393
2025-06-27,B3SA3.SA,3783
2025-06-27,BBAS3.SA,2877
2025-06-27,BBDC4.SA,3297
2025-06-27,BEEF3.SA,3853
2025-06-27,BPAC11.SA,2086
2025-06-27,CMIG4.SA,5822
2025-06-27,COGN3.SA,23518
2025-06-30,ABEV3.SA,3442
2025-06-30,AURE3.SA,3393
2025-06-30,B3SA3.SA,3783
2025-06-30,BBAS3.SA,2877
2025-06-30,BBDC4.SA,3297
2025-06-30,BEEF3.SA,3853
2025-06-30,BPAC11.SA,2086
2025-06-30,CMIG4.SA,5822
